time srcImsi targetImsi bsr depth
2800000 0 4294967295 12 0
2800000 0 4294967295 12 0
2900000 0 4294967295 0 0
2900000 0 4294967295 0 0
3000000 0 4294967295 0 0
3000000 0 4294967295 0 0
3100000 0 4294967295 0 0
3100000 0 4294967295 0 0
3200000 0 4294967295 0 0
3200000 0 4294967295 0 0
3300000 0 4294967295 0 0
3300000 0 4294967295 0 0
3400000 0 4294967295 0 0
3400000 0 4294967295 10 0
3500000 0 4294967295 10 0
3500000 0 4294967295 0 0
3600000 0 4294967295 0 0
3600000 0 4294967295 0 0
3700000 0 4294967295 0 0
3700000 0 4294967295 0 0
3800000 0 4294967295 0 0
3800000 0 4294967295 0 0
3900000 0 4294967295 0 0
3900000 0 4294967295 0 0
4000000 0 4294967295 0 0
4000000 0 4294967295 0 0
4100000 0 4294967295 0 0
4100000 0 4294967295 0 0
4200000 0 4294967295 0 0
4200000 0 4294967295 0 0
4300000 0 4294967295 0 0
4300000 0 4294967295 0 0
4400000 0 4294967295 0 0
4400000 0 4294967295 0 0
4500000 0 4294967295 0 0
4500000 0 4294967295 0 0
4600000 0 4294967295 0 0
4600000 0 4294967295 10 0
4700000 0 4294967295 10 0
4700000 0 4294967295 0 0
4800000 0 4294967295 0 0
4800000 0 4294967295 0 0
4900000 0 4294967295 0 0
4900000 0 4294967295 0 0
5000000 0 4294967295 0 0
5000000 0 4294967295 0 0
5100000 0 4294967295 0 0
5100000 0 4294967295 0 0
5200000 0 4294967295 0 0
5200000 0 4294967295 0 0
5300000 0 4294967295 0 0
5300000 0 4294967295 0 0
5400000 0 4294967295 0 0
5400000 0 4294967295 0 0
5500000 0 4294967295 0 0
5500000 0 4294967295 0 0
5600000 0 4294967295 0 0
5600000 0 4294967295 0 0
5700000 0 4294967295 0 0
5700000 0 4294967295 0 0
5800000 0 4294967295 0 0
5800000 0 4294967295 0 0
5900000 0 4294967295 0 0
5900000 0 4294967295 0 0
6000000 0 4294967295 0 0
6000000 0 4294967295 0 0
6100000 0 4294967295 0 0
6100000 0 4294967295 0 0
6200000 0 4294967295 0 0
6200000 0 4294967295 0 0
6300000 0 4294967295 0 0
6300000 0 4294967295 0 0
6400000 0 4294967295 0 0
6400000 0 4294967295 0 0
6500000 0 4294967295 0 0
6500000 0 4294967295 0 0
6600000 0 4294967295 0 0
6600000 0 4294967295 0 0
6700000 0 4294967295 0 0
6700000 0 4294967295 0 0
6800000 0 4294967295 0 0
6800000 0 4294967295 0 0
6900000 0 4294967295 0 0
6900000 0 4294967295 0 0
7000000 0 4294967295 0 0
7000000 0 4294967295 0 0
7100000 0 4294967295 0 0
7100000 0 4294967295 0 0
7200000 0 4294967295 0 0
7200000 0 4294967295 0 0
7300000 0 4294967295 0 0
7300000 0 4294967295 0 0
7400000 0 4294967295 0 0
7400000 0 4294967295 0 0
7500000 0 4294967295 0 0
7500000 0 4294967295 0 0
7600000 0 4294967295 0 0
7600000 0 4294967295 0 0
7700000 0 4294967295 0 0
7700000 0 4294967295 0 0
7800000 0 4294967295 0 0
7800000 0 4294967295 0 0
7900000 0 4294967295 0 0
7900000 0 4294967295 0 0
8000000 0 4294967295 0 0
8000000 0 4294967295 0 0
8100000 0 4294967295 0 0
8100000 0 4294967295 0 0
8200000 0 4294967295 0 0
8200000 0 4294967295 0 0
8300000 0 4294967295 0 0
8300000 0 4294967295 0 0
8400000 0 4294967295 0 0
8400000 0 4294967295 0 0
8500000 0 4294967295 0 0
8500000 0 4294967295 0 0
8600000 0 4294967295 0 0
8600000 0 4294967295 0 0
8700000 0 4294967295 0 0
8700000 0 4294967295 0 0
8800000 0 4294967295 0 0
8800000 0 4294967295 0 0
8900000 0 4294967295 0 0
8900000 0 4294967295 0 0
9000000 0 4294967295 0 0
9000000 0 4294967295 0 0
9100000 0 4294967295 0 0
9100000 0 4294967295 0 0
9200000 0 4294967295 0 0
9200000 0 4294967295 0 0
9300000 0 4294967295 0 0
9300000 0 4294967295 0 0
9400000 0 4294967295 0 0
9400000 0 4294967295 0 0
9500000 0 4294967295 0 0
9500000 0 4294967295 0 0
9600000 0 4294967295 0 0
9600000 0 4294967295 0 0
9700000 0 4294967295 0 0
9700000 0 4294967295 0 0
9800000 0 4294967295 0 0
9800000 0 4294967295 0 0
9900000 0 4294967295 0 0
9900000 0 4294967295 0 0
10000000 0 4294967295 0 0
10000000 0 4294967295 0 0
10100000 0 4294967295 0 0
10100000 0 4294967295 0 0
10200000 0 4294967295 0 0
10200000 0 4294967295 0 0
10300000 0 4294967295 0 0
10300000 0 4294967295 0 0
10400000 0 4294967295 0 0
10400000 0 4294967295 0 0
10500000 0 4294967295 0 0
10500000 0 4294967295 0 0
10600000 0 4294967295 0 0
10600000 0 4294967295 0 0
10700000 0 4294967295 0 0
10700000 0 4294967295 0 0
10800000 0 4294967295 0 0
10800000 0 4294967295 0 0
10900000 0 4294967295 0 0
10900000 0 4294967295 0 0
11000000 0 4294967295 0 0
11000000 0 4294967295 0 0
11100000 0 4294967295 0 0
11100000 0 4294967295 0 0
11200000 0 4294967295 0 0
11200000 0 4294967295 0 0
11300000 0 4294967295 0 0
11300000 0 4294967295 0 0
11400000 0 4294967295 0 0
11400000 0 4294967295 0 0
11500000 0 4294967295 0 0
11500000 0 4294967295 0 0
11600000 0 4294967295 0 0
11600000 0 4294967295 0 0
11700000 0 4294967295 0 0
11700000 0 4294967295 0 0
11800000 0 4294967295 0 0
11800000 0 4294967295 0 0
11900000 0 4294967295 0 0
11900000 0 4294967295 0 0
12000000 0 4294967295 0 0
12000000 0 4294967295 0 0
12100000 0 4294967295 0 0
12100000 0 4294967295 0 0
12200000 0 4294967295 0 0
12200000 0 4294967295 0 0
12300000 0 4294967295 0 0
12300000 0 4294967295 0 0
12400000 0 4294967295 0 0
12400000 0 4294967295 0 0
12500000 0 4294967295 0 0
12500000 0 4294967295 0 0
12600000 0 4294967295 0 0
12600000 0 4294967295 0 0
12700000 0 4294967295 0 0
12700000 0 4294967295 0 0
12800000 0 4294967295 0 0
12800000 0 4294967295 0 0
12900000 0 4294967295 0 0
12900000 0 4294967295 0 0
13000000 0 4294967295 0 0
13000000 0 4294967295 0 0
13100000 0 4294967295 0 0
13100000 0 4294967295 0 0
13200000 0 4294967295 0 0
13200000 0 4294967295 0 0
13300000 0 4294967295 0 0
13300000 0 4294967295 0 0
13400000 0 4294967295 0 0
13400000 0 4294967295 0 0
13500000 0 4294967295 0 0
13500000 0 4294967295 0 0
13600000 0 4294967295 0 0
13600000 0 4294967295 0 0
13700000 0 4294967295 0 0
13700000 0 4294967295 0 0
13800000 0 4294967295 0 0
13800000 0 4294967295 0 0
13900000 0 4294967295 0 0
13900000 0 4294967295 0 0
14000000 0 4294967295 0 0
14000000 0 4294967295 0 0
14100000 0 4294967295 0 0
14100000 0 4294967295 0 0
14200000 0 4294967295 0 0
14200000 0 4294967295 0 0
14300000 0 4294967295 0 0
14300000 0 4294967295 0 0
14400000 0 4294967295 0 0
14400000 0 4294967295 0 0
14500000 0 4294967295 0 0
14500000 0 4294967295 0 0
14600000 0 4294967295 0 0
14600000 0 4294967295 0 0
14700000 0 4294967295 0 0
14700000 0 4294967295 0 0
14800000 0 4294967295 0 0
14800000 0 4294967295 0 0
14900000 0 4294967295 0 0
14900000 0 4294967295 0 0
15000000 0 4294967295 0 0
15000000 0 4294967295 0 0
15100000 0 4294967295 0 0
15100000 0 4294967295 0 0
